id, latin
1, Fraxinus
2, Populus tremula
3, Fagus sylvatica
4, Fagus sylvatica
5, Betula pubescens
6, Betula pendula
7, Prunus spinosa
8, Buxus sempervirens
9, Rhamnus cathartica
10, Cedrus libani
11, Prunus padus
